-1.000;-1.000;-1.000;-1.000
3.940;2.705;0.000;-0.250
3.940;3.649;0.000;-0.059
3.940;3.872;0.000;-0.014
3.940;3.924;0.000;-0.003
3.940;3.936;0.000;-0.001
5.440;5.087;0.000;-0.000
5.440;5.357;0.000;-0.000
5.440;5.421;0.000;-0.000
5.440;5.435;0.000;-0.000
5.440;5.439;0.000;-0.000
6.950;6.596;0.000;-0.000
6.950;6.867;0.000;-0.000
6.950;6.931;0.000;-0.000
6.950;6.945;0.000;-0.000
6.950;6.949;0.010;0.008
7.010;6.996;0.010;0.009
7.010;7.007;0.010;0.010
7.010;7.009;0.010;0.010
7.010;7.010;0.010;0.010
7.010;7.010;0.000;0.002
7.030;7.025;0.000;0.001
7.030;7.029;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.010;7.015;0.000;0.000
7.010;7.011;0.000;0.000
7.010;7.010;0.000;0.000
7.010;7.010;0.000;0.000
7.010;7.010;0.000;0.000
7.030;7.025;0.000;0.000
7.030;7.029;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.000;0.000
7.030;7.030;0.010;0.008
7.000;7.007;0.010;0.009
7.000;7.002;0.010;0.010
7.000;7.000;0.010;0.010
7.000;7.000;0.010;0.010
7.000;7.000;0.000;0.002
6.990;6.992;0.000;0.001
6.990;6.991;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.990;6.990;0.000;0.000
6.980;6.982;0.000;0.000
6.980;6.981;0.000;0.000
6.980;6.980;0.000;0.000
6.980;6.980;0.000;0.000
6.980;6.980;0.000;0.000
7.230;7.171;0.000;0.000
7.230;7.216;0.000;0.000
7.230;7.227;0.000;0.000
7.230;7.229;0.000;0.000
7.230;7.230;0.000;0.000
7.110;7.138;0.000;0.000
7.110;7.117;0.000;0.000
7.110;7.112;0.000;0.000
7.110;7.110;0.000;0.000
7.110;7.110;0.000;0.000
6.960;6.995;0.000;0.000
6.960;6.968;0.000;0.000
6.960;6.962;0.000;0.000
6.960;6.960;0.000;0.000
6.960;6.960;0.010;0.008
6.890;6.906;0.010;0.009
6.890;6.894;0.010;0.010
6.890;6.891;0.010;0.010
6.890;6.890;0.010;0.010
6.890;6.890;0.020;0.018
4.350;4.945;0.020;0.019
4.350;4.490;0.020;0.020
4.350;4.383;0.020;0.020
4.350;4.358;0.020;0.020
4.350;4.352;0.010;0.012
4.030;4.105;0.010;0.011
4.030;4.048;0.010;0.010
4.030;4.034;0.010;0.010
4.030;4.031;0.010;0.010
4.030;4.030;0.000;0.002
4.000;4.007;0.000;0.001
4.000;4.002;0.000;0.000
4.000;4.000;0.000;0.000
4.000;4.000;0.000;0.000
4.000;4.000;0.000;0.000
3.980;3.985;0.000;0.000
3.980;3.981;0.000;0.000
3.980;3.980;0.000;0.000
3.980;3.980;0.000;0.000
3.980;3.980;0.010;0.008
3.980;3.980;0.010;0.009
3.980;3.980;0.010;0.010
3.980;3.980;0.010;0.010
3.980;3.980;0.010;0.010
3.980;3.980;0.000;0.002
3.970;3.972;0.000;0.001
3.970;3.971;0.000;0.000
3.970;3.970;0.000;0.000
3.970;3.970;0.000;0.000
3.970;3.970;0.010;0.008
3.950;3.955;0.010;0.009
3.950;3.951;0.010;0.010
3.950;3.950;0.010;0.010
3.950;3.950;0.010;0.010
3.950;3.950;0.010;0.010
